"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1"
"pmp1",0,0,1,"pmp1","ycr024c-a","ORF","162945-163067","-","III","ycr024c-a",3992.69388250949
NA,NA,NA,NA,"hht2","ynl031c","ORF","575640-576050","-","XIV","ynl031c",3816.54267014303
NA,NA,NA,NA,"ylr286w-a","ylr286w-a","ORF","708562-708696","+","XII","ylr286w-a",3341.02697989305
NA,NA,NA,NA,"htb1","ydr224c","ORF","914317-914712","-","IV","ydr224c",3214.06754945569
NA,NA,NA,NA,"ybr126w-b","ybr126w-b","ORF","490927-491070","+","II","ybr126w-b",3009.43973030062
"met17",0,1,0,"met17","ylr303w","ORF","732542-733876","+","XII","ylr303w",2895.63707709629
NA,NA,NA,NA,"efb1","yal003w","ORF","142174-143160","+","I","yal003w",2889.79114614064
NA,NA,NA,NA,"rpl15a","ylr029c","ORF","201976-202590","-","XII","ylr029c",2733.48516754103
"met6",0,0,1,"met6","yer091c","ORF","339864-342167","-","V","yer091c",2688.02407627041
NA,NA,NA,NA,"gln1","ypr035w","ORF","642208-643320","+","XVI","ypr035w",2686.47263230704
NA,NA,NA,NA,"hhf2","ynl030w","ORF","576727-577038","+","XIV","ynl030w",2432.57013263943
NA,NA,NA,NA,"yjl133c-a","yjl133c-a","ORF","159623-159847","-","X","yjl133c-a",2298.54970892656
"bmh1",0.333333333333333,0.333333333333333,0.333333333333333,"bmh1","yer177w","ORF","545611-546414","+","V","yer177w",2285.16690949689
NA,NA,NA,NA,"rpl14a","ykl006w","ORF","431906-432720","+","XI","ykl006w",2255.86627532925
NA,NA,NA,NA,"hxt1","yhr094c","ORF","290913-292625","-","VIII","yhr094c",2163.79481374481
NA,NA,NA,NA,"ycr024c-b","ycr024c-b","ORF","162599-162865","-","III","ycr024c-b",2132.52734124374
NA,NA,NA,NA,"meo1","ybr126w-a","ORF","490850-491056","+","II","ybr126w-a",2088.7694490809
NA,NA,NA,NA,"ssa2","yll024c","ORF","95566-97485","-","XII","yll024c",1947.46736956543
NA,NA,NA,NA,"pma1","ygl008c","ORF","479910-482666","-","VII","ygl008c",1929.44143792705
"rpl37a",0,0,1,"rpl37a","ylr185w","ORF","522663-523288","+","XII","ylr185w",1909.58950409286
"shm2",0,0.5,0.5,"shm2","ylr058c","ORF","257992-259401","-","XII","ylr058c",1900.52887886371
NA,NA,NA,NA,"rps23a","ygr118w","ORF","726974-727730","+","VII","ygr118w",1807.46632106763
NA,NA,NA,NA,"mrh1","ydr033w","ORF","508147-509109","+","IV","ydr033w",1746.12691479239
"rps18b",0,1,0,"rps18b","yml026c","ORF","222987-223828","-","XIII","yml026c",1731.33077844881
NA,NA,NA,NA,"hta2","ybl003c","ORF","235394-235792","-","II","ybl003c",1709.73697156173
"hxk2",0,1,0,"hxk2","ygl253w","ORF","23935-25395","+","VII","ygl253w",1670.13080025794
"rpl4a",0,1,0,"rpl4a","ybr031w","ORF","300166-301254","+","II","ybr031w",1660.53859970468
NA,NA,NA,NA,"bgl2","ygr282c","ORF","1057783-1058724","-","VII","ygr282c",1650.31465659061
NA,NA,NA,NA,"ydr524c-b","ydr524c-b","ORF","1489598-1489798","-","IV","ydr524c-b",1583.87538386242
NA,NA,NA,NA,"cts1","ylr286c","ORF","708448-710136","-","XII","ylr286c",1545.75781450968
NA,NA,NA,NA,"tsa1","yml028w","ORF","220138-220728","+","XIII","yml028w",1501.71602233827
NA,NA,NA,NA,"gpp2","yer062c","ORF","279930-280682","-","V","yer062c",1490.2693029212
NA,NA,NA,NA,"psa1","ydl055c","ORF","355674-356759","-","IV","ydl055c",1488.40210484525
"sam1",0,1,0,"sam1","ylr180w","ORF","515262-516410","+","XII","ylr180w",1479.97916415855
NA,NA,NA,NA,"rpl28","ygl103w","ORF","310967-311927","+","VII","ygl103w",1467.20291696734
NA,NA,NA,NA,"ykl156c-a","ykl156c-a","ORF","158975-159091","-","XI","ykl156c-a",1442.22925811764
NA,NA,NA,NA,"act1","yfl039c","ORF","53260-54696","-","VI","yfl039c",1377.78756684045
"rps24a",0,0.5,0.5,"rps24a","yer074w","ORF","306323-307196","+","V","yer074w",1374.02467666073
NA,NA,NA,NA,"cys3","yal012w","ORF","130799-131983","+","I","yal012w",1362.7545658648
NA,NA,NA,NA,"htb2","ybl002w","ORF","236492-236887","+","II","ybl002w",1344.04703763955
NA,NA,NA,NA,"ygl102c","ygl102c","ORF","311505-311933","-","VII","ygl102c",1320.4938296894
NA,NA,NA,NA,"ccw14","ylr390w-a","ORF","903724-904440","+","XII","ylr390w-a",1308.62627574517
NA,NA,NA,NA,"ssc1","yjr045c","ORF","519638-521602","-","X","yjr045c",1225.90640137703
NA,NA,NA,NA,"yor248w","yor248w","ORF","798013-798315","+","XV","yor248w",1221.84359174418
NA,NA,NA,NA,"pgi1","ybr196c","ORF","612236-613900","-","II","ybr196c",1213.62488537029
NA,NA,NA,NA,"tpo4","yor273c","ORF","834452-836431","-","XV","yor273c",1176.47799511362
NA,NA,NA,NA,"rpl3","yor063w","ORF","444686-445849","+","XV","yor063w",1157.18131451027
"ras2",0.5,0.5,0,"ras2","ynl098c","ORF","439602-440570","-","XIV","ynl098c",1145.46202332361
"rps27a",0,0,1,"rps27a","ykl156w","ORF","158613-159212","+","XI","ykl156w",1143.87965971609
"rps1b",0,0,1,"rps1b","yml063w","ORF","146482-147249","+","XIII","yml063w",1117.01367477578
NA,NA,NA,NA,"mfa2","ynl145w","ORF","352414-352530","+","XIV","ynl145w",1112.06021048916
NA,NA,NA,NA,"rps20","yhl015w","ORF","75412-75777","+","VIII","yhl015w",1099.34689158692
"ade17",0,0,1,"ade17","ymr120c","ORF","507502-509280","-","XIII","ymr120c",1068.51359942385
NA,NA,NA,NA,"ymr272w-a","ymr272w-a","ORF","810466-810579","+","XIII","ymr272w-a",1050.14656374212
NA,NA,NA,NA,"met3","yjr010w","ORF","456239-457774","+","X","yjr010w",1049.8771543173
NA,NA,NA,NA,"rps29a","ylr388w","ORF","898651-898821","+","XII","ylr388w",1048.48397581838
NA,NA,NA,NA,"rps14a","ycr031c","ORF","177500-178220","-","III","ycr031c",1023.80026677587
NA,NA,NA,NA,"aga2","ygl032c","ORF","436570-436833","-","VII","ygl032c",936.661069192653
"rps24b",0,0,1,"rps24b","yil069c","ORF","231553-232369","-","IX","yil069c",886.034253817588
NA,NA,NA,NA,"tkl1","ypr074c","ORF","692796-694838","-","XVI","ypr074c",885.896900197657
NA,NA,NA,NA,"srl1","yor247w","ORF","797676-798308","+","XV","yor247w",879.457849295669
NA,NA,NA,NA,"rpl8a","yhl033c","ORF","35255-36025","-","VIII","yhl033c",875.57580449194
NA,NA,NA,NA,"rpl4b","ydr012w","ORF","471853-472941","+","IV","ydr012w",872.112341544318
NA,NA,NA,NA,"mbf1","yor298c-a","ORF","877230-877685","-","XV","yor298c-a",868.784856887446
NA,NA,NA,NA,"rpl11b","ygr085c","ORF","648383-648907","-","VII","ygr085c",852.434165542554
"rpp2a",0,0.5,0.5,"rpp2a","yol039w","ORF","254297-254617","+","XV","yol039w",850.208707251464
NA,NA,NA,NA,"dld3","yel071w","ORF","16355-17845","+","V","yel071w",816.827748592012
NA,NA,NA,NA,"hnt1","ydl125c","ORF","239019-239606","-","IV","ydl125c",806.539209855919
NA,NA,NA,NA,"adh3","ymr083w","ORF","434788-435915","+","XIII","ymr083w",805.725429756936
NA,NA,NA,NA,"ynl134c","ynl134c","ORF","372451-373581","-","XIV","ynl134c",776.705602667805
NA,NA,NA,NA,"tef4","ykl081w","ORF","282891-284455","+","XI","ykl081w",753.963671988119
NA,NA,NA,NA,"hsp10","yor020c","ORF","370524-370844","-","XV","yor020c",734.964874550249
"rpl43a",0,0,1,"rpl43a","ypr043w","ORF","654166-654847","+","XVI","ypr043w",724.424185761505
NA,NA,NA,NA,"kar2","yjl034w","ORF","381327-383375","+","X","yjl034w",715.044292956972
"ade1",0,1,0,"ade1","yar015w","ORF","169375-170295","+","I","yar015w",698.565127255591
NA,NA,NA,NA,"gnd1","yhr183w","ORF","470960-472429","+","VIII","yhr183w",692.752309158901
"tpm1",0,0,1,"tpm1","ynl079c","ORF","478566-479165","-","XIV","ynl079c",690.908162245356
NA,NA,NA,NA,"cip1","ypl014w","ORF","527547-528692","+","XVI","ypl014w",680.332043824476
NA,NA,NA,NA,"atg41","ypl250c","ORF","74309-74719","-","XVI","ypl250c",679.000410841651
"gcn4",0,0.333333333333333,0.666666666666667,"gcn4","yel009c","ORF","138918-139763","-","V","yel009c",668.997453088024
"ecm33",0,0,1,"ecm33","ybr078w","ORF","393123-394742","+","II","ybr078w",651.506301481302
NA,NA,NA,NA,"crh1","ygr189c","ORF","876669-878192","-","VII","ygr189c",650.059144685681
NA,NA,NA,NA,"pmp2","yel017c-a","ORF","122798-122929","-","V","yel017c-a",639.627527263509
NA,NA,NA,NA,"ade13","ylr359w","ORF","844282-845730","+","XII","ylr359w",634.4598441155
NA,NA,NA,NA,"ste2","yfl026w","ORF","82580-83875","+","VI","yfl026w",633.701709836546
NA,NA,NA,NA,"cdc48","ydl126c","ORF","236157-238664","-","IV","ydl126c",631.6294429524
NA,NA,NA,NA,"pre2","ypr103w","ORF","732349-733212","+","XVI","ypr103w",621.969262282582
NA,NA,NA,NA,"abf2","ymr072w","ORF","411569-412120","+","XIII","ymr072w",618.637271070502
NA,NA,NA,NA,"arc15","yil062c","ORF","243998-244462","-","IX","yil062c",618.564341500822
NA,NA,NA,NA,"rpl2a","yfr031c-a","ORF","220507-221418","-","VI","yfr031c-a",600.462922719325
NA,NA,NA,NA,"gap1","ykr039w","ORF","515063-516871","+","XI","ykr039w",596.909592105762
NA,NA,NA,NA,"hsp60","ylr259c","ORF","663284-665002","-","XII","ylr259c",591.558478051315
NA,NA,NA,NA,"mmf1","yil051c","ORF","257843-258280","-","IX","yil051c",585.024815590754
NA,NA,NA,NA,"pst1","ydr055w","ORF","563527-564861","+","IV","ydr055w",581.627209693228
"rpl13a",0,1,0,"rpl13a","ydl082w","ORF","308424-309388","+","IV","ydl082w",580.372332986697
"idh1",0,1,0,"idh1","ynl037c","ORF","557920-559002","-","XIV","ynl037c",579.619317756998
NA,NA,NA,NA,"yfl031c-a","yfl031c-a","ORF","76014-76115","-","VI","yfl031c-a",579.254416306311
"lys9",0,0.666666666666667,0.333333333333333,"lys9","ynr050c","ORF","714048-715388","-","XIV","ynr050c",573.18523122548
NA,NA,NA,NA,"opi11","ypr044c","ORF","654524-654877","-","XVI","ypr044c",572.668222470743
"ade3",0,0.5,0.5,"ade3","ygr204w","ORF","905934-908774","+","VII","ygr204w",571.379028574493
NA,NA,NA,NA,"pfy1","yor122c","ORF","552298-552887","-","XV","yor122c",570.678615997477
NA,NA,NA,NA,"rpl42a","ynl162w","ORF","331322-332154","+","XIV","ynl162w",567.677947828984
NA,NA,NA,NA,"ssb1","ydl229w","ORF","44065-45906","+","IV","ydl229w",567.540011507116
NA,NA,NA,NA,"ylr264c-a","ylr264c-a","ORF","673828-673944","-","XII","ylr264c-a",567.137318378863
NA,NA,NA,NA,"rps22a","yjl190c","ORF","74910-75302","-","X","yjl190c",561.068324630739
NA,NA,NA,NA,"vma3","yel027w","ORF","100769-101251","+","V","yel027w",553.029544267863
NA,NA,NA,NA,"gpd2","yol059w","ORF","217126-218448","+","XV","yol059w",546.525856472278
NA,NA,NA,NA,"hac1","yfl031w","ORF","75179-76147","+","VI","yfl031w",545.865722850854
NA,NA,NA,NA,"rpl22b","yfl034c-a","ORF","64243-64932","-","VI","yfl034c-a",544.522980875914
NA,NA,NA,NA,"rcr1","ybr005w","ORF","245906-246547","+","II","ybr005w",541.461780931432
NA,NA,NA,NA,"stp4","ydl048c","ORF","366739-368211","-","IV","ydl048c",538.098600559959
NA,NA,NA,NA,"sol3","yhr163w","ORF","423724-424473","+","VIII","yhr163w",532.951942171243
NA,NA,NA,NA,"rps28b","ylr264w","ORF","673131-673334","+","XII","ylr264w",531.580604311931
NA,NA,NA,NA,"ylr302c","ylr302c","ORF","732191-732553","-","XII","ylr302c",529.282732879219
NA,NA,NA,NA,"ylr257w","ylr257w","ORF","658826-659791","+","XII","ylr257w",528.457273159856
NA,NA,NA,NA,"ser33","yil074c","ORF","221081-222490","-","IX","yil074c",518.696528760011
"lat1",1,0,0,"lat1","ynl071w","ORF","491523-492971","+","XIV","ynl071w",516.646348573359
NA,NA,NA,NA,"dot6","yer088c","ORF","333176-335188","-","V","yer088c",516.631927385239
"rps0b",0,0,1,"rps0b","ylr048w","ORF","242232-243349","+","XII","ylr048w",511.437287777141
NA,NA,NA,NA,"yhr182c-a","yhr182c-a","ORF","470939-471412","-","VIII","yhr182c-a",502.903225077784
NA,NA,NA,NA,"ubc4","ybr082c","ORF","406628-407169","-","II","ybr082c",501.055627088164
NA,NA,NA,NA,"wtm1","yor230w","ORF","770800-772113","+","XV","yor230w",500.895871885037
NA,NA,NA,NA,"ylr179c","ylr179c","ORF","514108-514713","-","XII","ylr179c",495.441332112164
"idh2",0,1,0,"idh2","yor136w","ORF","580250-581359","+","XV","yor136w",491.506384647012
NA,NA,NA,NA,"bat1","yhr208w","ORF","517532-518713","+","VIII","yhr208w",487.592418211246
"met2",0,0.5,0.5,"met2","ynl277w","ORF","117349-118809","+","XIV","ynl277w",482.936224085315
NA,NA,NA,NA,"pfk1","ygr240c","ORF","970771-973734","-","VII","ygr240c",482.259823203417
"rpl23a",0,1,0,"rpl23a","ybl087c","ORF","59822-60739","-","II","ybl087c",460.64300069287
NA,NA,NA,NA,"met10","yfr030w","ORF","213312-216419","+","VI","yfr030w",458.214880793349
NA,NA,NA,NA,"ser3","yer081w","ORF","322686-324095","+","V","yer081w",454.276614036761
NA,NA,NA,NA,"com2","yer130c","ORF","421115-422446","-","V","yer130c",453.212637617187
NA,NA,NA,NA,"aim7","ydr063w","ORF","578663-579112","+","IV","ydr063w",451.387483480815
NA,NA,NA,NA,"vhr1","yil056w","ORF","249991-251913","+","IX","yil056w",449.649555669602
"rps4b",0,0.5,0.5,"rps4b","yhr203c","ORF","504476-505530","-","VIII","yhr203c",446.911385059899
NA,NA,NA,NA,"ser1","yor184w","ORF","679357-680544","+","XV","yor184w",441.368920690255
NA,NA,NA,NA,"vma13","ypr036w","ORF","643836-645272","+","XVI","ypr036w",440.749467481112
NA,NA,NA,NA,"rpl30","ygl030w","ORF","439091-439638","+","VII","ygl030w",438.116060143482
NA,NA,NA,NA,"bud20","ylr074c","ORF","281956-282456","-","XII","ylr074c",423.518101002984
NA,NA,NA,NA,"pfk2","ymr205c","ORF","671887-674766","-","XIII","ymr205c",421.977213920428
NA,NA,NA,NA,"gcv3","yal044c","ORF","57950-58462","-","I","yal044c",420.329851150647
NA,NA,NA,NA,"lyp1","ynl268w","ORF","138550-140385","+","XIV","ynl268w",413.200879445169
"vma2",0,0,1,"vma2","ybr127c","ORF","491269-492822","-","II","ybr127c",412.170221788432
NA,NA,NA,NA,"cof1","yll050c","ORF","39804-40414","-","XII","yll050c",411.676178588448
NA,NA,NA,NA,"ynl276c","ynl276c","ORF","118431-118826","-","XIV","ynl276c",410.610468601365
"mtd1",0,1,0,"mtd1","ykr080w","ORF","590395-591357","+","XI","ykr080w",408.397186324943
NA,NA,NA,NA,"rpl36a","ymr194w","ORF","651145-651910","+","XIII","ymr194w",405.642112870053
NA,NA,NA,NA,"hrk1","yor267c","ORF","822588-824867","-","XV","yor267c",405.159549046494
NA,NA,NA,NA,"ixr1","ykl032c","ORF","380065-381858","-","XI","ykl032c",401.669596269846
NA,NA,NA,NA,"cmk2","yol016c","ORF","294777-296120","-","XV","yol016c",400.996461373375
NA,NA,NA,NA,"dse1","yer124c","ORF","407342-409063","-","V","yer124c",400.304050951882
NA,NA,NA,NA,"pup1","yor157c","ORF","630966-631751","-","XV","yor157c",396.707633865793
NA,NA,NA,NA,"nab2","ygl122c","ORF","278946-280523","-","VII","ygl122c",395.133063017054
NA,NA,NA,NA,"yra1","ydr381w","ORF","1236558-1238004","+","IV","ydr381w",392.973953636439
"ade2",0,1,0,"ade2","yor128c","ORF","564476-566191","-","XV","yor128c",390.243269001656
"trx1",0,0,1,"trx1","ylr043c","ORF","231702-232013","-","XII","ylr043c",390.211528736969
"aat2",1,0,0,"aat2","ylr027c","ORF","196829-198085","-","XII","ylr027c",390.130087477834
NA,NA,NA,NA,"tmc1","yor052c","ORF","426772-427224","-","XV","yor052c",388.915533486967
NA,NA,NA,NA,"apa1","ycl050c","ORF","37836-38801","-","III","ycl050c",386.780803556559
NA,NA,NA,NA,"arp2","ydl029w","ORF","399340-400638","+","IV","ydl029w",385.774214568252
NA,NA,NA,NA,"tos6","ynl300w","ORF","65744-66052","+","XIV","ynl300w",385.275125941187
NA,NA,NA,NA,"tom5","ypr133w-a","ORF","797557-797709","+","XVI","ypr133w-a",385.04513439068
"ras1",0,1,0,"ras1","yor101w","ORF","515244-516173","+","XV","yor101w",382.938104493031
"rpl8b",0,1,0,"rpl8b","yll045c","ORF","47859-48629","-","XII","yll045c",381.612995486683
NA,NA,NA,NA,"rps7b","ynl096c","ORF","443398-444315","-","XIV","ynl096c",379.349551883151
NA,NA,NA,NA,"rpb5","ybr154c","ORF","548362-549009","-","II","ybr154c",376.671818602722
NA,NA,NA,NA,"pct1","ygr202c","ORF","903474-904748","-","VII","ygr202c",375.780176905024
NA,NA,NA,NA,"shb17","ykr043c","ORF","520897-521712","-","XI","ykr043c",372.884011059336
NA,NA,NA,NA,"faa1","yor317w","ORF","909343-911445","+","XV","yor317w",370.974462762328
NA,NA,NA,NA,"tda1","ymr291w","ORF","852630-854390","+","XIII","ymr291w",367.550539086046
NA,NA,NA,NA,"yor342c","yor342c","ORF","966666-967625","-","XV","yor342c",366.545818288961
"lys12",0,1,0,"lys12","yil094c","ORF","186517-187632","-","IX","yil094c",365.435616650834
NA,NA,NA,NA,"hch1","ynl281w","ORF","108467-108928","+","XIV","ynl281w",365.268143310316
"amn1",0,0,1,"amn1","ybr158w","ORF","556549-558198","+","II","ybr158w",360.799904157014
NA,NA,NA,NA,"yer088w-b","yer088w-b","ORF","335927-336073","+","V","yer088w-b",358.34661160325
"vma1",0,0,1,"vma1","ydl185w","ORF","126787-130002","+","IV","ydl185w",357.847138999804
NA,NA,NA,NA,"pxr1","ygr280c","ORF","1050910-1051725","-","VII","ygr280c",356.818648431593
NA,NA,NA,NA,"tom40","ymr203w","ORF","668492-669655","+","XIII","ymr203w",353.818110381036
NA,NA,NA,NA,"rpp0","ylr340w","ORF","805887-806825","+","XII","ylr340w",350.292857004735
"sac6",0,0,1,"sac6","ydr129c","ORF","713340-715379","-","IV","ydr129c",349.318432039379
NA,NA,NA,NA,"yjr087w","yjr087w","ORF","586400-586750","+","X","yjr087w",349.07766724818
NA,NA,NA,NA,"ypr126c","ypr126c","ORF","789077-789385","-","XVI","ypr126c",345.181547754816
NA,NA,NA,NA,"his1","yer055c","ORF","264892-265785","-","V","yer055c",344.097487744128
NA,NA,NA,NA,"sfk1","ykl051w","ORF","341312-342373","+","XI","ykl051w",343.746739597058
NA,NA,NA,NA,"scs7","ymr272c","ORF","809623-810777","-","XIII","ymr272c",343.001170993036
"tal1",0,1,0,"tal1","ylr354c","ORF","836350-837357","-","XII","ylr354c",342.722401542867
NA,NA,NA,NA,"phm8","yer037w","ORF","225889-226854","+","V","yer037w",340.136646141278
NA,NA,NA,NA,"yop1","ypr028w","ORF","623527-624202","+","XVI","ypr028w",338.55546064012
NA,NA,NA,NA,"yps1","ylr120c","ORF","386511-388220","-","XII","ylr120c",338.072375091685
"ipt1",0,0.5,0.5,"ipt1","ydr072c","ORF","589761-591344","-","IV","ydr072c",335.038102356602
NA,NA,NA,NA,"rpb8","yor224c","ORF","760825-761265","-","XV","yor224c",333.493520117824
NA,NA,NA,NA,"gim3","ynl153c","ORF","345669-346058","-","XIV","ynl153c",333.346503131778
NA,NA,NA,NA,"krs1","ydr037w","ORF","525440-527215","+","IV","ydr037w",332.658384978869
NA,NA,NA,NA,"ybl100c","ybl100c","ORF","36989-37303","-","II","ybl100c",331.168338296043
"ade5,7",0,0.5,0,"ade5,7","ygl234w","ORF","56482-58890","+","VII","ygl234w",330.733648888735
NA,NA,NA,NA,"erg1","ygr175c","ORF","846933-848423","-","VII","ygr175c",329.270417964242
NA,NA,NA,NA,"pre10","yor362c","ORF","1017880-1018746","-","XV","yor362c",328.967367999433
"sic1",0,0,1,"sic1","ylr079w","ORF","286820-287674","+","XII","ylr079w",328.337981411792
NA,NA,NA,NA,"nrd1","ynl251c","ORF","172588-174315","-","XIV","ynl251c",326.469601357992
"dif1",0,0,1,"dif1","ylr437c","ORF","1011622-1012023","-","XII","ylr437c",325.253736889745
"rvs161",0,0.333333333333333,0.666666666666667,"rvs161","ycr009c","ORF","130745-131542","-","III","ycr009c",324.464411166886
NA,NA,NA,NA,"ari1","ygl157w","ORF","209006-210049","+","VII","ygl157w",321.995636838216
NA,NA,NA,NA,"ydr354c-a","ydr354c-a","ORF","1185139-1185282","-","IV","ydr354c-a",320.106729148108
NA,NA,NA,NA,"gcv1","ydr019c","ORF","484163-485365","-","IV","ydr019c",319.327138046811
NA,NA,NA,NA,"yor309c","yor309c","ORF","896698-897078","-","XV","yor309c",317.67371138467
NA,NA,NA,NA,"map1","ylr244c","ORF","625168-626331","-","XII","ylr244c",315.143477478549
NA,NA,NA,NA,"imd4","yml056c","ORF","162194-164176","-","XIII","yml056c",312.276343035504
NA,NA,NA,NA,"dia1","ymr316w","ORF","904825-905835","+","XIII","ymr316w",309.758410542017
NA,NA,NA,NA,"chs1","ynl192w","ORF","276502-279897","+","XIV","ynl192w",309.607552056254
NA,NA,NA,NA,"ylr399w-a","ylr399w-a","ORF","920869-920973","+","XII","ylr399w-a",307.363271109893
NA,NA,NA,NA,"egt2","ynl327w","ORF","24048-27173","+","XIV","ynl327w",305.73628731942
"pda1",0,0,1,"pda1","yer178w","ORF","546817-548079","+","V","yer178w",304.4426045769
NA,NA,NA,NA,"rpn11","yfr004w","ORF","153393-154313","+","VI","yfr004w",303.843895177938
NA,NA,NA,NA,"sec61","ylr378c","ORF","875736-877178","-","XII","ylr378c",303.671832581253
NA,NA,NA,NA,"scs2","yer120w","ORF","401135-401869","+","V","yer120w",303.530228024054
"rpl22a",0,1,0,"rpl22a","ylr061w","ORF","263194-263948","+","XII","ylr061w",301.308444004008
NA,NA,NA,NA,"imd2","yhr216w","ORF","554396-555967","+","VIII","yhr216w",301.066931620691
NA,NA,NA,NA,"por1","ynl055c","ORF","517994-518845","-","XIV","ynl055c",299.241251518584
NA,NA,NA,NA,"bud28","ylr062c","ORF","263577-263954","-","XII","ylr062c",298.904175061985
NA,NA,NA,NA,"ymr316c-a","ymr316c-a","ORF","905662-905973","-","XIII","ymr316c-a",298.035893384008
NA,NA,NA,NA,"ygr026w","ygr026w","ORF","532985-533821","+","VII","ygr026w",294.18786207637
NA,NA,NA,NA,"hrr25","ypl204w","ORF","164276-165760","+","XVI","ypl204w",293.85011936949
NA,NA,NA,NA,"rvs167","ydr388w","ORF","1250186-1251634","+","IV","ydr388w",292.940844695269
NA,NA,NA,NA,"tpm2","yil138c","ORF","89230-89715","-","IX","yil138c",291.481539471431
NA,NA,NA,NA,"rpl26a","ylr344w","ORF","819312-820142","+","XII","ylr344w",284.727952570092
NA,NA,NA,NA,"yro2","ybr054w","ORF","343101-344135","+","II","ybr054w",281.189972439989
NA,NA,NA,NA,"mcm1","ymr043w","ORF","353871-354731","+","XIII","ymr043w",278.718687008227
NA,NA,NA,NA,"tpo3","ypr156c","ORF","837909-839777","-","XVI","ypr156c",278.476187729511
NA,NA,NA,NA,"ipp1","ybr011c","ORF","257112-257975","-","II","ybr011c",278.164013750231
NA,NA,NA,NA,"sit4","ydl047w","ORF","369771-370706","+","IV","ydl047w",278.159543232857
NA,NA,NA,NA,"tpo2","ygr138c","ORF","763762-765606","-","VII","ygr138c",275.977459666356
NA,NA,NA,NA,"dig1","ypl049c","ORF","462481-463839","-","XVI","ypl049c",273.893902300216
NA,NA,NA,NA,"ydr210w","ydr210w","ORF","871074-871301","+","IV","ydr210w",273.71076046272
NA,NA,NA,NA,"zuo1","ygr285c","ORF","1061852-1063153","-","VII","ygr285c",273.588290816185
NA,NA,NA,NA,"scw11","ygl028c","ORF","441281-442909","-","VII","ygl028c",273.570185709889
NA,NA,NA,NA,"his4","ycl030c","ORF","65934-68333","-","III","ycl030c",273.237166002297
NA,NA,NA,NA,"snc2","yor327c","ORF","930734-931081","-","XV","yor327c",271.900032837145
NA,NA,NA,NA,"dse3","yor264w","ORF","818866-820158","+","XV","yor264w",271.330783648047
NA,NA,NA,NA,"bar1","yil015w","ORF","322342-324105","+","IX","yil015w",270.764261416149
NA,NA,NA,NA,"ybl077w","ybl077w","ORF","80897-81328","+","II","ybl077w",269.77237299054
NA,NA,NA,NA,"ybr287w","ybr287w","ORF","776571-777854","+","II","ybr287w",269.513925936676
NA,NA,NA,NA,"trr1","ydr353w","ORF","1183299-1184258","+","IV","ydr353w",268.887168679755
NA,NA,NA,NA,"sec23","ypr181c","ORF","897361-899667","-","XVI","ypr181c",268.685717517736
NA,NA,NA,NA,"ybl068w-a","ybl068w-a","ORF","91794-92030","+","II","ybl068w-a",266.942067507797
NA,NA,NA,NA,"rpg1","ybr079c","ORF","395383-398277","-","II","ybr079c",266.806138816145
NA,NA,NA,NA,"tye7","yor344c","ORF","977194-978069","-","XV","yor344c",264.857773486534
NA,NA,NA,NA,"rps14b","yjl191w","ORF","73787-74611","+","X","yjl191w",264.780768414129
