"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11"
NA,NA,NA,NA,"cbr1","yil043c","ORF","274072-274926","-","IX","yil043c",0.564376862068961,0.670591454545458,0.610938921052629,1.05106816666667,-0.0336803749999959,-0.105170444444448,-0.0130297096774165,0.649651428571429,0.477661531645569,0.398759483146067,0.156672524752475
NA,NA,NA,NA,"ilv3","yjr016c","ORF","464451-466208","-","X","yjr016c",-0.438302034482729,-0.733676696969703,-0.885799894736848,-1.67107269047619,-1.11545891666665,-0.260199500000003,1.87194877419355,1.29039927142857,0.13012198734177,-0.544745269662918,-1.54541430693069
NA,NA,NA,NA,"his5","yil116w","ORF","142928-144085","+","IX","yil116w",-0.677544206896547,-0.648492303030304,-0.684591342105256,-0.599690214285715,-0.929564854166666,-0.686276333333332,-0.130620580645163,-0.155889414285712,0.0456822658227799,0.26842475280899,0.476102306930693
NA,NA,NA,NA,"yal037c-b","yal037c-b","ORF","72326-73300","-","I","yal037c-b",-12.8693527586209,-14.0800772727272,-13.5012289473683,-21.8892314285716,-6.39491895833335,3.69513333333341,24.2940403225807,4.24623971428563,0.678249113924134,-2.06314910112361,-5.11083237623764
NA,NA,NA,NA,"erv41","yml067c","ORF","139063-140214","-","XIII","yml067c",0.129098603448277,0.135793457575755,0.113049155263158,0.207106985714286,-0.0683402937500007,-0.122600253703703,-0.132605425806451,-0.0518506357142862,0.176070241772153,0.380244593258427,0.657141254455446
NA,NA,NA,NA,"aro1","ydr127w","ORF","704484-709250","+","IV","ydr127w",-0.337480831034484,-0.367575984848487,-0.346143110526315,-0.533627033333333,-0.147631010416669,0.0496007925925936,0.44137174516129,-0.0282226685714286,-0.0420220987341764,-0.0566676011235955,-0.0456836079207917
NA,NA,NA,NA,"odc2","yor222w","ORF","758330-759253","+","XV","yor222w",-0.607799689655171,-0.753531454545454,-0.901058736842096,-1.36902407142858,-1.20740258333332,-0.573920185185188,0.840163,0.537274185714287,0.416407734177212,0.475340393258425,0.419135693069307
NA,NA,NA,NA,"rpl8a","yhl033c","ORF","35255-36025","-","VIII","yhl033c",-0.611243310344835,-1.00861209090908,-0.660976894736851,-2.25044826190478,1.69092085416667,2.77340483333333,5.35091564516129,0.717424714285715,-2.45965974683544,-5.04574920224719,-7.77838883168318
NA,NA,NA,NA,"rib3","ydr487c","ORF","1428354-1428980","-","IV","ydr487c",-0.834107241379323,-0.910161727272724,-0.879581921052626,-1.31916333333334,-0.445545562499999,-0.128947611111109,0.202522999999998,0.257410414285719,0.28349327848101,0.335847741573035,0.315669821782177
NA,NA,NA,NA,"cdc19","yal038w","ORF","71786-73288","+","I","yal038w",-12.2878244827587,-13.4620212121213,-13.1973,-20.4742942857142,-8.05938437500003,1.2244837037037,21.6188032258065,-0.0495925714285477,-2.10595759493681,-3.74172359550561,-4.84304396039601
NA,NA,NA,NA,"voa1","ygr106c","ORF","698989-699786","-","VII","ygr106c",-0.388546448275873,-0.307026333333331,-0.398795842105259,0.0936047380952367,-0.98052847916667,-1.2990795,-2.24271016129033,-0.345649057142858,0.00901275949367625,0.383911460674156,0.613304980198018
NA,NA,NA,NA,"eno2","yhr174w","ORF","451327-452640","+","VIII","yhr174w",-26.5244986206895,-28.0181269696974,-26.6013289473683,-37.5406835714286,-14.1926274999999,-2.07049777777785,23.6287851612903,-14.6140124285713,-18.2387692405064,-22.7252226966292,-25.6830754455445
"pmp1",0,0,1,"pmp1","ycr024c-a","ORF","162945-163067","-","III","ycr024c-a",-16.8750051724137,-19.4888918181818,-20.9241299999999,-29.989478809524,-20.0752933333333,-10.6500824074074,9.93997064516129,-6.75480142857149,-5.31463215189871,-3.02686022471912,0.439033366336673
NA,NA,NA,NA,"pho12","yhr215w","ORF","552099-553502","+","VIII","yhr215w",-0.170875186206896,-0.168752012121212,-0.155936678947371,-0.196837580952381,-0.0636295749999978,-0.019163012962964,0.0719372951612898,-0.26793363,-0.0663403987341765,0.0754561224719093,0.315034292079208
NA,NA,NA,NA,"sdt1","ygl224c","ORF","78015-78857","-","VII","ygl224c",0.039345896551727,0.0704462121212121,0.0798134999999994,0.21242619047619,-0.00749862500000198,0.0182759444444469,0.179140725806451,0.0275541857142859,0.00511384810126561,0.00577867415730322,0.026948069306931
NA,NA,NA,NA,"ilv6","ycl009c","ORF","104619-105548","-","III","ycl009c",0.20890534482756,0.549843606060614,0.583773131578961,1.59619066666667,-0.155190666666674,-0.317974888888894,-0.273222419354841,-0.206970100000003,0.232789063291138,0.516570370786521,0.825236999999996
NA,NA,NA,NA,"gnd1","yhr183w","ORF","470960-472429","+","VIII","yhr183w",-1.53946910344828,-1.63024387878787,-1.39098599999999,-2.23788280952382,-0.0221791250000081,0.999438981481493,3.29718532258065,-0.409707857142865,-0.387218265822775,-0.452224550561807,-0.117272227722764
NA,NA,NA,NA,"rpl14a","ykl006w","ORF","431906-432720","+","XI","ykl006w",2.13171137931034,0.851063333333321,0.939925789473603,-3.41273404761902,3.65812458333333,6.81201555555558,16.170950483871,3.62934728571431,-7.55397455696202,-16.5339056179775,-26.9459199009901
NA,NA,NA,NA,"ste2","yfl026w","ORF","82580-83875","+","VI","yfl026w",-2.81899599999998,-3.50049433333335,-3.88898426315791,-5.72564883333333,-3.92007045833334,-2.85942779629629,-0.47329791935483,-2.95007965714285,-1.44437105063291,-0.0379668988764121,2.08121842574257
NA,NA,NA,NA,"trp5","ygl026c","ORF","446412-448535","-","VII","ygl026c",-0.639451206896563,-0.756271757575746,-0.693661078947379,-1.24291495238095,-0.0824049375000039,0.163219444444449,0.447333306451611,0.0976677000000044,0.10031675949367,0.101304584269664,0.128970841584156
"shm1",0,0.5,0.5,"shm1","ybr263w","ORF","736264-737736","+","II","ybr263w",0.365385758620695,0.408078212121207,0.404910605263159,0.568133500000001,0.258245333333331,0.103942740740745,-0.177794129032259,0.196937157142855,0.149123607594937,0.10757582022472,0.023210821782177
NA,NA,NA,NA,"gcv3","yal044c","ORF","57950-58462","-","I","yal044c",-1.68551172413792,-1.22908999999998,-0.711161578947392,-0.299366428571429,1.16536541666666,0.891754074074074,0.0303561290322632,-3.87860414285712,-2.2789559493671,-1.67249741573033,-0.181189009900992
NA,NA,NA,NA,"sar1","ypl218w","ORF","138698-139409","+","XVI","ypl218w",1.21389613793105,1.41243257575757,1.19117468421052,2.07616021428571,-0.243135687499993,-0.55347544444445,-0.955267290322582,0.558802728571428,0.538535329113929,0.622078370786516,0.466667386138612
NA,NA,NA,NA,"ckb2","yor039w","ORF","405768-406544","+","XV","yor039w",-0.0298522965517256,0.0135255484848504,0.0351063342105256,0.164329780952382,0.0376057124999995,-0.0764532796296311,-0.346371327419355,-0.204231284285713,-0.14296620886076,-0.128344171910113,-0.113566845544554
"sif2",0,0,1,"sif2","ybr103w","ORF","447709-449316","+","II","ybr103w",0.0518281344827592,0.0751906181818177,0.0618456342105264,0.173452835714286,-0.0688886979166669,-0.145148738888889,-0.301703019354839,-0.0372499942857146,0.149245048101266,0.309362576404494,0.49402902970297
NA,NA,NA,NA,"wwm1","yfl010c","ORF","115108-115743","-","VI","yfl010c",1.53965472413794,1.86785096969696,1.86676194736842,2.94784247619047,1.02744277083334,0.640251574074073,0.273261354838702,0.537805500000007,-0.0252222911392422,-0.550422786516852,-1.28808457425743
NA,NA,NA,NA,"gds1","yor355w","ORF","1005137-1006705","+","XV","yor355w",-0.0348758172413784,0.000542678787878237,0.0534324078947366,0.0916960357142859,0.198751100000001,0.258430146296296,0.432889487096774,0.00723769000000069,-0.00806378354430551,-0.0438894584269657,-0.0328417316831684
"lys12",0,1,0,"lys12","yil094c","ORF","186517-187632","-","IX","yil094c",-0.321800862068946,-0.641949666666671,-0.705021105263169,-1.84235838095238,-0.243184645833333,0.25343353703704,1.42081688709678,0.0914845285714299,-0.106358569620253,-0.264816820224726,-0.340543603960392
NA,NA,NA,NA,"map2","ybl091c","ORF","47363-48628","-","II","ybl091c",-0.403910068965519,-0.419332787878784,-0.384627026315792,-0.531178428571429,-0.150423479166667,0.00269224074073996,0.296586403225807,-0.266771014285715,-0.236630531645569,-0.243735067415731,-0.200178871287128
NA,NA,NA,NA,"his3","yor202w","ORF","721946-722608","+","XV","yor202w",-0.323663344827584,-0.205609121212133,-0.110160631578941,-0.069512166666668,0.19423858333333,0.385128796296299,0.875292370967747,-0.454030214285719,-0.566332886075947,-0.811284977528091,-1.01093488118812
NA,NA,NA,NA,"ycr024c-b","ycr024c-b","ORF","162599-162865","-","III","ycr024c-b",-7.44231206896561,-8.55988696969689,-9.00503210526315,-13.6247452380953,-7.46757124999997,-2.62179481481486,7.53393306451611,-1.54752557142852,-0.772880126582314,0.297136292134852,2.04742544554455
NA,NA,NA,NA,"tef2","ybr118w","ORF","477671-479047","+","II","ybr118w",-2.6520289655172,-3.20127181818186,-3.18649184210525,-4.95262523809526,-1.70623937499997,-0.577856851851863,0.421851290322571,2.69904800000001,-0.148264430379761,-1.88298370786515,-4.70432108910891
NA,NA,NA,NA,"thr1","yhr025w","ORF","159438-160511","+","VIII","yhr025w",-0.100923620689643,-0.0931971515151555,0.0115628421052574,-0.137359333333331,0.475808791666665,0.632584185185189,1.17472479032258,-0.484039628571428,-0.756349518987342,-1.09093569662921,-1.28380956435644
NA,NA,NA,NA,"nit1","yil164c","ORF","34087-34686","-","IX","yil164c",-0.582106241379308,-0.634316696969702,-0.70510647368421,-0.854774714285713,-0.88613433333333,-0.567795370370374,-0.00371612903225949,0.347381085714289,0.448926683544303,0.651975595505616,0.76791672277228
"ypt7",0,0,1,"ypt7","yml001w","ORF","267174-267800","+","XIII","yml001w",-0.00940131034482271,0.0253130303030268,-0.0838886578947339,0.215832095238093,-0.757527354166664,-0.789495722222221,-0.703818548387097,0.0180090142857117,0.00561379746835583,0.0751514943820233,0.00945887128712667
"rpl4a",0,1,0,"rpl4a","ybr031w","ORF","300166-301254","+","II","ybr031w",-2.95294172413794,-3.2563648484848,-2.64260684210527,-5.18396519047618,1.2263271875,4.1185006111111,10.1296611290323,1.60831228571429,-1.28000708860759,-3.77992955056181,-6.32751672277227
NA,NA,NA,NA,"yck2","ynl154c","ORF","343636-345276","-","XIV","ynl154c",-0.503229793103446,-0.566712212121214,-0.52889151842105,-0.814281061904763,-0.161148785416666,-0.0336142574074085,0.114319924193549,-0.280862878571428,-0.369803548101267,-0.46692834719101,-0.549993858415842
NA,NA,NA,NA,"ade13","ylr359w","ORF","844282-845730","+","XII","ylr359w",-2.76800689655178,-2.88757969696965,-2.54828842105266,-3.77966952380951,0.100065000000005,-0.443785740740736,-2.32938193548388,-6.50854857142857,-4.09825483544305,-2.97677203370785,-0.584841396039608
NA,NA,NA,NA,"rpl15a","ylr029c","ORF","201976-202590","-","XII","ylr029c",-8.71513275862056,-10.9497387878789,-10.2237489473684,-19.1207052380952,-0.128992291666729,3.97395833333331,9.37130338709678,-0.996126285714256,-8.59493594936708,-14.7693631460674,-21.6175115841584
NA,NA,NA,NA,"gaa1","ylr088w","ORF","316107-317951","+","XII","ylr088w",0.00714312758620738,0.00805462121212077,0.00297361578947418,0.00930075952380958,-0.0269259791666669,-0.0145793833333334,0.0461658000000003,-0.0504075800000002,0.0203558430379744,0.0776520000000003,0.16720813960396
NA,NA,NA,NA,"dur3","yhl016c","ORF","72037-74244","-","VIII","yhl016c",0.0910111275862062,0.142118427272728,0.164698465789475,0.31027065,0.157649841666667,0.0416657148148139,-0.261234064516129,0.0297709514285722,0.177003151898734,0.282807324719101,0.401666789108911
"gcn4",0,0.333333333333333,0.666666666666667,"gcn4","yel009c","ORF","138918-139763","-","V","yel009c",-2.66977448275862,-3.35290181818181,-3.47212789473683,-6.0348576190476,-1.95953437499999,-0.888430740740752,0.528289677419355,-0.870819142857142,1.6453506329114,3.86526898876403,6.99150445544556
NA,NA,NA,NA,"ura3","yel021w","ORF","116167-116970","+","V","yel021w",0.381500931034484,0.366866181818182,0.330990815789466,0.320011785714282,0.265756562500007,-0.000330814814817502,-0.361894370967744,-1.14019252857142,-0.314174594936713,0.239384606741571,1.20048106930693
NA,NA,NA,NA,"zrc1","ymr243c","ORF","754838-756166","-","XIII","ymr243c",-0.336091655172413,-0.499770181818185,-0.622945315789475,-0.924287809523808,-0.830361291666666,-0.824332925925925,-0.923559435483871,-0.128329414285714,0.111551670886075,0.427976528089889,0.751323158415841
NA,NA,NA,NA,"pin4","ybl051c","ORF","122753-124759","-","II","ybl051c",-0.032808262068966,-0.0820636151515147,-0.122276565789473,-0.213772319047619,-0.217486785416667,-0.175548031481481,-0.052537179032258,-0.000893197142857056,0.0823209126582281,0.18863277752809,0.320691332673267
NA,NA,NA,NA,"asn2","ygr124w","ORF","739944-741662","+","VII","ygr124w",0.545159344827594,0.788537272727271,0.97860799999999,1.57388926190476,1.0605195,0.740872129629634,0.360229951612903,0.202034085714282,-0.0669065063291141,-0.452900775280898,-0.910609306930695
NA,NA,NA,NA,"yor331c","yor331c","ORF","943565-944122","-","XV","yor331c",0.420473482758615,0.256928909090923,-0.233414499999993,0.0910326666666519,-2.274101,-2.96953359259259,-3.90970332258064,-2.22782061428571,0.0311548227848072,1.96847480898877,4.41533238613862
NA,NA,NA,NA,"rps3","ynl178w","ORF","302680-303402","+","XIV","ynl178w",1.87933206896544,1.78327878787885,1.8370271052632,2.42493285714285,2.31425374999996,-0.652529814814847,-9.18383451612903,1.14848957142859,1.89360405063291,2.74655370786517,3.16569118811881
NA,NA,NA,NA,"ybt1","yll048c","ORF","41280-46265","-","XII","yll048c",-0.106451155172414,-0.102565412121212,-0.0756447157894737,-0.0918074857142855,0.0434791437499996,0.0291837574074074,-0.0595439419354839,-0.0389777185714283,-0.027705064556962,-0.0304541224719102,-0.0298384564356434
NA,NA,NA,NA,"ylr179c","ylr179c","ORF","514108-514713","-","XII","ylr179c",-1.10423737931036,-1.45575000000001,-1.53014634210526,-2.98490366666667,-0.814014541666665,0.289665888888888,2.3861497903226,0.762321642857143,0.781018518987338,0.93332264044944,1.16960686138613
NA,NA,NA,NA,"vma3","yel027w","ORF","100769-101251","+","V","yel027w",-3.1832924137931,-3.93270515151519,-4.32166894736838,-6.86033833333335,-3.62004187500001,-2.56952499999998,-1.30022822580647,-2.37656128571429,0.149896962025339,2.33004966292133,5.22448801980198
NA,NA,NA,NA,"pfk1","ygr240c","ORF","970771-973734","-","VII","ygr240c",-1.95627324137931,-2.25767896969697,-2.16124681578948,-3.49081280952381,-0.936506916666661,0.0117574814814774,1.75205690322581,-0.0346468000000024,-1.08793186075949,-1.95290657303371,-3.03448352475248
NA,NA,NA,NA,"ser1","yor184w","ORF","679357-680544","+","XV","yor184w",-2.15509420689655,-2.26446103030303,-1.94316810526315,-2.79153435714286,-0.121486312499997,0.613147018518513,1.63710279032258,-0.282881714285712,-0.781402392405064,-1.24602593258427,-1.67152258415842
NA,NA,NA,NA,"bim1","yer016w","ORF","188277-189311","+","V","yer016w",-0.0516761275862057,-0.0428291575757574,-0.0237192710526314,-0.0218579142857153,0.0302261416666664,0.0680151407407415,0.166962466129032,0.0233919800000006,-0.0254487772151899,-0.0699331000000002,-0.115139879207921
"vph1",0,0.5,0.5,"vph1","yor270c","ORF","828052-830574","-","XV","yor270c",-1.10839306896552,-1.18531675757576,-1.08949826315789,-1.52963161904762,-0.431982062499999,-0.0441882407407419,0.64486385483871,-0.481431642857144,-0.340404164556961,-0.259020168539324,-0.0409700990099024
NA,NA,NA,NA,"rpl5","ypl131w","ORF","303121-304014","+","XVI","ypl131w",-0.279255172413757,-0.717136060606015,0.0246118421052032,-2.07884595238099,4.68206520833339,3.81026018518519,-0.813568387096776,3.70417857142853,1.20618455696204,-0.827671123595515,-3.714471980198
NA,NA,NA,NA,"ept1","yhr123w","ORF","354815-356081","+","VIII","yhr123w",0.0568680310344846,0.0867808848484833,0.0799337921052624,0.196487633333335,-0.0282268250000002,-0.140034224074073,-0.391079306451615,-0.0558677342857134,0.0623537101265815,0.151087970786517,0.232684255445546
NA,NA,NA,NA,"ies3","ylr052w","ORF","247201-247953","+","XII","ylr052w",-0.192429800000001,-0.250137812121212,-0.320248647368421,-0.412082616666667,-0.467379341666666,-0.534494759259259,-0.744170832258065,-0.366226614285715,-0.293688579746835,-0.223023660674157,-0.179925158415842
"rps24a",0,0.5,0.5,"rps24a","yer074w","ORF","306323-307196","+","V","yer074w",3.06504758620686,1.46264666666673,0.955456578947298,-3.12561071428566,1.63678999999992,3.33739074074081,9.19150661290323,2.37257014285712,-6.47677569620256,-13.1797017977528,-21.0362525742574
NA,NA,NA,NA,"ygl123c-a","ygl123c-a","ORF","277634-277864","-","VII","ygl123c-a",-2.82045724137945,-4.82414787878786,-4.25262736842102,-9.99462333333343,2.6055204166668,2.30674574074059,-2.49915725806439,6.62722757142858,-4.40854949367096,-12.4917051685393,-23.9615199009901
NA,NA,NA,NA,"dps1","yll018c","ORF","109902-111575","-","XII","yll018c",-1.4330998275862,-1.57263596969697,-1.44793734210526,-2.12065116666667,-0.512459645833338,-0.108397166666668,0.365688112903229,-0.201812557142854,-0.0498339873417789,0.0732425168539367,0.270074861386135
NA,NA,NA,NA,"cin8","yel061c","ORF","36535-39537","-","V","yel061c",0.0243104172413789,0.0262904757575759,0.0256355894736842,0.0304444380952382,0.0202729083333331,0.0177013666666669,0.00491264999999992,0.0462707428571427,0.0465740569620255,0.051002235955056,0.051062307920792
NA,NA,NA,NA,"itr2","yol103w","ORF","124001-125830","+","XV","yol103w",-0.0380804103448283,-0.0430879666666673,-0.0561185157894727,-0.0456841857142856,-0.125089575,-0.0709421555555554,0.0998942016129025,-0.00888822285714294,0.0453725506329113,0.111979631460674,0.208967404950496
NA,NA,NA,NA,"pfk2","ymr205c","ORF","671887-674766","-","XIII","ymr205c",-1.79472768965517,-2.09675739393939,-2.08829773684211,-3.24650971428571,-1.32629574999999,-0.377566666666666,1.48121851612903,0.0509611428571475,-0.469968341772153,-0.799485797752813,-1.21492622772277
NA,NA,NA,NA,"stt3","ygl022w","ORF","452404-454560","+","VII","ygl022w",-0.105330962068966,-0.146701306060609,-0.191750131578944,-0.298870085714288,-0.326895766666665,-0.146965957407409,0.294315830645163,0.229400441428571,0.285313169620254,0.393449540449438,0.502743859405941
NA,NA,NA,NA,"nup157","yer105c","ORF","367838-372013","-","V","yer105c",-0.116882117241379,-0.142324175757576,-0.141428255263158,-0.226326783333333,-0.0798001229166667,-0.0250604592592595,0.0752041322580645,-0.000968947142857145,-0.0258247189873418,-0.0360650348314606,-0.0443778881188118
NA,NA,NA,NA,"ygr125w","ygr125w","ORF","742325-745435","+","VII","ygr125w",-0.181488506896552,-0.167425672727273,-0.147358494736842,-0.150638052380952,-0.0704980041666673,-0.0122368629629629,0.0706586935483875,-0.0391517614285714,0.0845930556962028,0.181574559550562,0.31247081980198
NA,NA,NA,NA,"rps28b","ylr264w","ORF","673131-673334","+","XII","ylr264w",-0.157411379310392,0.774482727272725,1.58852657894739,3.08846261904759,3.67784729166667,3.4502101851852,3.23887322580643,-2.80259014285714,-2.38692075949366,-2.9356093258427,-2.69915702970298
NA,NA,NA,NA,"spc3","ylr066w","ORF","267169-267723","+","XII","ylr066w",-0.546008896551724,-0.488845242424243,-0.418032394736843,-0.33373695238095,-0.181788250000003,-0.263959759259259,-0.619695806451613,-0.569891201428571,0.102446264556963,0.593592732584268,1.26059799009901
NA,NA,NA,NA,"yhr182c-a","yhr182c-a","ORF","470939-471412","-","VIII","yhr182c-a",-1.55115737931036,-1.64005236363637,-1.49552599999999,-2.07141983333334,-0.695490020833347,0.180338388888896,2.23767146774193,-0.401932685714282,-0.592157303797467,-0.749321898876403,-0.708743633663368
NA,NA,NA,NA,"dse2","yhr143w","ORF","385510-386487","+","VIII","yhr143w",-3.29734455172417,-3.89442433333332,-3.99105210526314,-6.35880235714286,-2.54838404166667,-1.24309216666667,-0.550385032258067,2.83385298571428,4.6888537721519,6.75587259550562,8.75174491089109
NA,NA,NA,NA,"adh3","ymr083w","ORF","434788-435915","+","XIII","ymr083w",-1.3107772413793,-1.91213142424243,-1.97521863157895,-3.86966185714285,-1.06583635416667,0.336561500000003,3.73953212903226,0.262756457142863,-1.11453865822785,-2.03875421348315,-2.92483405940594
"ade17",0,0,1,"ade17","ymr120c","ORF","507502-509280","-","XIII","ymr120c",-4.83726827586209,-5.04778818181821,-4.60614815789475,-6.46708999999998,-1.20854041666666,-0.492745740740727,0.143325322580619,-5.91315357142857,-4.20512854430379,-3.49086003370787,-1.63414833663366
"rps10b",0,1,0,"rps10b","ymr230w","ORF","732414-733141","+","XIII","ymr230w",2.72083206896539,1.88075333333335,1.68506815789478,0.340179999999951,2.34692500000004,0.857388333333296,-2.73190693548383,0.831299000000009,-0.366964683544326,-0.906411910112367,-1.34914425742571
NA,NA,NA,NA,"mdm1","yml104c","ORF","58939-62322","-","XIII","yml104c",0.0186864137931035,0.0165616333333334,0.0145167947368418,0.0169384095238097,0.00799787916666683,-0.00795562592592597,-0.040582706451613,-0.0188932928571427,-0.0037549493670888,0.00896526516853943,0.0282645811881188
NA,NA,NA,NA,"bat1","yhr208w","ORF","517532-518713","+","VIII","yhr208w",-1.0961148275862,-1.11740393939396,-1.05292447368419,-1.40984238095238,-0.731960000000005,-0.127241111111108,1.7741464516129,-1.48743671428572,-2.22721075949367,-3.02852944943819,-3.76212162376239
NA,NA,NA,NA,"eri1","ypl096c-a","ORF","366529-366735","-","XVI","ypl096c-a",-0.11053713103448,-0.1774119,-0.26273365,-0.436054369047618,-0.484993202083335,-0.308530096296296,0.079973890322581,0.203840407142857,0.480501964556962,0.78169158988764,1.11559954653465
NA,NA,NA,NA,"tpi1","ydr050c","ORF","555726-556472","-","IV","ydr050c",-21.6392286206896,-21.8429760606063,-22.3129473684211,-26.6868942857142,-21.9250160416666,-10.8565400000001,13.62736,-8.36144742857141,-4.84994582278472,-1.98680258426975,1.76681950495054
NA,NA,NA,NA,"imd3","ylr432w","ORF","1002557-1004128","+","XII","ylr432w",0.265205517241376,0.166857121212126,0.122238763157874,0.0528098571428581,0.202717041666673,-0.465055833333323,-2.21248729032259,-0.56807871428571,-1.43831340506329,-2.18343595505618,-3.25687883168317
NA,NA,NA,NA,"sbh2","yer019c-a","ORF","194273-194539","-","V","yer019c-a",0.606722310344829,0.802808030303033,0.691969526315784,1.21221814285714,0.0667999791666673,-0.490881722222222,-1.997506,-0.192161942857142,0.535994291139244,1.02528070786517,1.42683924752475
NA,NA,NA,NA,"vma4","yor332w","ORF","943656-944357","+","XV","yor332w",0.425369413793102,0.394798060606091,0.0585396315789179,0.534809523809535,-1.50177185416666,-2.09911037037037,-3.1396120967742,-1.28069819999999,0.829788063291128,2.64878275280899,4.8830962970297
NA,NA,NA,NA,"vtc2","yfl004w","ORF","131810-134296","+","VI","yfl004w",0.0478703137931057,0.0119599636363626,-0.0231050815789477,-0.0768790928571423,-0.130545460416667,-0.185445081481481,-0.245275701612903,-0.169631841428572,0.0116475544303792,0.160507352808988,0.36411753069307
"vma6",0,0,1,"vma6","ylr447c","ORF","1026856-1027893","-","XII","ylr447c",-0.730336758620697,-0.890767818181816,-0.957686526315791,-1.49785283333332,-0.716483791666675,-0.489693555555551,-0.383967677419352,-0.16915208571429,0.418343645569618,0.981989460674157,1.67433833663367
"pmt1",0,0,1,"pmt1","ydl095w","ORF","287059-289512","+","IV","ydl095w",-0.120028889655171,-0.0988436636363674,-0.0433439842105237,-0.0774987309523804,0.171963329166666,0.277573424074073,0.541282367741937,-0.097933250000001,-0.0153284481012645,0.01771185730337,0.149185364356436
NA,NA,NA,NA,"vma7","ygr020c","ORF","526973-527329","-","VII","ygr020c",-0.595357206896528,-0.551168787878782,-0.685421421052656,-0.4654501190476,-1.421298875,-1.48894314814815,-1.61487980645162,-0.476320100000001,-0.235029797468346,-0.0361704157303342,-0.0529449603960408
NA,NA,NA,NA,"rpl28","ygl103w","ORF","310967-311927","+","VII","ygl103w",-2.9380210344828,-5.70671939393943,-6.05346131578938,-14.4006083333333,-0.627781875000058,2.37164092592593,6.05674161290322,5.15135042857147,0.381065316455706,-2.1067379775281,-5.07479594059406
NA,NA,NA,NA,"fmp32","yfl046w","ORF","42815-43438","+","VI","yfl046w",0.181444144827586,0.183760296969698,0.0930651526315791,0.244879878571428,-0.365088870833333,-0.437656396296296,-0.457916143548388,-0.125053464285714,0.121625388607595,0.36536381235955,0.640061765346535
