"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2"
NA,NA,NA,NA,"meo1","ybr126w-a","ORF","490850-491056","+","II","ybr126w-a",-817.742769586814,1271.02667949409
NA,NA,NA,NA,"pma1","ygl008c","ORF","479910-482666","-","VII","ygl008c",-802.950980362484,1126.49045756456
"rps27a",0,0,1,"rps27a","ykl156w","ORF","158613-159212","+","XI","ykl156w",-788.940465698755,354.93919401733
"rpl4a",0,1,0,"rpl4a","ybr031w","ORF","300166-301254","+","II","ybr031w",-787.511878527526,873.026721177157
NA,NA,NA,NA,"psa1","ydl055c","ORF","355674-356759","-","IV","ydl055c",-779.74551458874,708.656590256509
NA,NA,NA,NA,"rps14a","ycr031c","ORF","177500-178220","-","III","ycr031c",-769.642000837972,254.158265937895
NA,NA,NA,NA,"hta2","ybl003c","ORF","235394-235792","-","II","ybl003c",-764.136249921762,945.600721639972
NA,NA,NA,NA,"mrh1","ydr033w","ORF","508147-509109","+","IV","ydr033w",-753.903255714797,992.223659077589
"hxk2",0,1,0,"hxk2","ygl253w","ORF","23935-25395","+","VII","ygl253w",-735.900735809179,934.230064448758
NA,NA,NA,NA,"cts1","ylr286c","ORF","708448-710136","-","XII","ylr286c",-734.508277415285,811.249537094399
"rpp2a",0,0.5,0.5,"rpp2a","yol039w","ORF","254297-254617","+","XV","yol039w",-727.746575636092,122.462131615372
"rps24a",0,0.5,0.5,"rps24a","yer074w","ORF","306323-307196","+","V","yer074w",-714.136021967898,659.888654692829
NA,NA,NA,NA,"cys3","yal012w","ORF","130799-131983","+","I","yal012w",-705.817054770509,656.937511094289
NA,NA,NA,NA,"rpl30","ygl030w","ORF","439091-439638","+","VII","ygl030w",-676.552399792323,-238.436339648841
"rps1b",0,0,1,"rps1b","yml063w","ORF","146482-147249","+","XIII","yml063w",-676.130359238593,440.883315537183
NA,NA,NA,NA,"bgl2","ygr282c","ORF","1057783-1058724","-","VII","ygr282c",-672.163219778012,978.151436812603
"rpl39",0,0,1,"rpl39","yjl189w","ORF","75933-76474","+","X","yjl189w",-660.471030537047,-485.51258406742
NA,NA,NA,NA,"ccw14","ylr390w-a","ORF","903724-904440","+","XII","ylr390w-a",-657.40283229515,651.223443450024
NA,NA,NA,NA,"rps22a","yjl190c","ORF","74910-75302","-","X","yjl190c",-641.301335758259,-80.2330111275201
NA,NA,NA,NA,"rps29a","ylr388w","ORF","898651-898821","+","XII","ylr388w",-637.815700787404,410.668275030976
NA,NA,NA,NA,"rpl3","yor063w","ORF","444686-445849","+","XV","yor063w",-627.359830446538,529.821484063732
NA,NA,NA,NA,"ssc1","yjr045c","ORF","519638-521602","-","X","yjr045c",-607.341151457667,618.56524991936
"rpl43a",0,0,1,"rpl43a","ypr043w","ORF","654166-654847","+","XVI","ypr043w",-580.712830469887,143.711355291617
NA,NA,NA,NA,"htb2","ybl002w","ORF","236492-236887","+","II","ybl002w",-571.488057463236,772.558980176317
NA,NA,NA,NA,"tsa1","yml028w","ORF","220138-220728","+","XIII","yml028w",-567.928672265967,933.787350072303
NA,NA,NA,NA,"yor248w","yor248w","ORF","798013-798315","+","XV","yor248w",-567.094345299745,654.749246444434
NA,NA,NA,NA,"rpl42a","ynl162w","ORF","331322-332154","+","XIV","ynl162w",-566.890773175975,0.787174653009458
NA,NA,NA,NA,"pgi1","ybr196c","ORF","612236-613900","-","II","ybr196c",-561.075823679018,652.549061691273
NA,NA,NA,NA,"act1","yfl039c","ORF","53260-54696","-","VI","yfl039c",-558.847090065993,818.940476774458
NA,NA,NA,NA,"tpo4","yor273c","ORF","834452-836431","-","XV","yor273c",-539.308440602141,637.169554511478
NA,NA,NA,NA,"mpc2","yhr162w","ORF","423072-423461","+","VIII","yhr162w",-536.996486036977,-534.453063123277
"rps24b",0,0,1,"rps24b","yil069c","ORF","231553-232369","-","IX","yil069c",-536.302765847781,349.731487969808
"uth1",0,1,0,"uth1","ykr042w","ORF","519527-520624","+","XI","ykr042w",-531.606907583596,-924.190370596177
"rpl13a",0,1,0,"rpl13a","ydl082w","ORF","308424-309388","+","IV","ydl082w",-525.068182622597,55.3041503640996
"ade17",0,0,1,"ade17","ymr120c","ORF","507502-509280","-","XIII","ymr120c",-518.374481312796,550.139118111056
NA,NA,NA,NA,"met3","yjr010w","ORF","456239-457774","+","X","yjr010w",-506.289068102907,543.588086214392
"rpl8b",0,1,0,"rpl8b","yll045c","ORF","47859-48629","-","XII","yll045c",-505.428159290137,-123.815163803455
NA,NA,NA,NA,"rpl11b","ygr085c","ORF","648383-648907","-","VII","ygr085c",-503.007123563477,349.427041979077
"ras2",0.5,0.5,0,"ras2","ynl098c","ORF","439602-440570","-","XIV","ynl098c",-496.419189287263,649.042834036344
NA,NA,NA,NA,"hsp10","yor020c","ORF","370524-370844","-","XV","yor020c",-493.908611747451,241.056262802798
NA,NA,NA,NA,"tef4","ykl081w","ORF","282891-284455","+","XI","ykl081w",-488.183942927868,265.77972906025
NA,NA,NA,NA,"ymr272w-a","ymr272w-a","ORF","810466-810579","+","XIII","ymr272w-a",-482.856176490743,567.290387251377
NA,NA,NA,NA,"dld3","yel071w","ORF","16355-17845","+","V","yel071w",-479.88136211966,336.946386472352
NA,NA,NA,NA,"rpl2a","yfr031c-a","ORF","220507-221418","-","VI","yfr031c-a",-471.492044772563,128.970877946762
"rpl22a",0,1,0,"rpl22a","ylr061w","ORF","263194-263948","+","XII","ylr061w",-461.875319982705,-160.566875978697
NA,NA,NA,NA,"rpl4b","ydr012w","ORF","471853-472941","+","IV","ydr012w",-449.986222827315,422.126118717003
NA,NA,NA,NA,"opi11","ypr044c","ORF","654524-654877","-","XVI","ypr044c",-446.406898165381,126.261324305362
NA,NA,NA,NA,"rpl8a","yhl033c","ORF","35255-36025","-","VIII","yhl033c",-443.874205882302,431.701598609637
NA,NA,NA,NA,"tkl1","ypr074c","ORF","692796-694838","-","XVI","ypr074c",-442.162356781687,443.73454341597
NA,NA,NA,NA,"ubc4","ybr082c","ORF","406628-407169","-","II","ybr082c",-441.508571920704,59.5470551674603
NA,NA,NA,NA,"aga2","ygl032c","ORF","436570-436833","-","VII","ygl032c",-438.910329931163,497.75073926149
NA,NA,NA,NA,"srl1","yor247w","ORF","797676-798308","+","XV","yor247w",-409.774328627245,469.683520668424
NA,NA,NA,NA,"bud28","ylr062c","ORF","263577-263954","-","XII","ylr062c",-407.731728975618,-108.827553913634
"ecm33",0,0,1,"ecm33","ybr078w","ORF","393123-394742","+","II","ybr078w",-404.178186132475,247.328115348827
NA,NA,NA,NA,"rpl36a","ymr194w","ORF","651145-651910","+","XIII","ymr194w",-399.970426022441,5.67168684761221
NA,NA,NA,NA,"yll044w","yll044w","ORF","48216-48662","+","XII","yll044w",-397.030881400484,-316.301431867996
NA,NA,NA,NA,"adh3","ymr083w","ORF","434788-435915","+","XIII","ymr083w",-389.809373885958,415.916055870978
NA,NA,NA,NA,"rpl2b","yil018w","ORF","316768-317932","+","IX","yil018w",-377.865013311163,-408.811967924416
"rps0b",0,0,1,"rps0b","ylr048w","ORF","242232-243349","+","XII","ylr048w",-377.139588121782,134.297699655359
NA,NA,NA,NA,"kar2","yjl034w","ORF","381327-383375","+","X","yjl034w",-376.194488343777,338.849804613196
NA,NA,NA,NA,"ssb1","ydl229w","ORF","44065-45906","+","IV","ydl229w",-375.24462739199,192.295384115126
NA,NA,NA,NA,"ynl134c","ynl134c","ORF","372451-373581","-","XIV","ynl134c",-366.847740702962,409.857861964843
NA,NA,NA,NA,"rpp0","ylr340w","ORF","805887-806825","+","XII","ylr340w",-361.417286992885,-11.1244299881508
"gcn4",0,0.333333333333333,0.666666666666667,"gcn4","yel009c","ORF","138918-139763","-","V","yel009c",-361.147428507207,307.850024580817
NA,NA,NA,NA,"rpl18a","yol120c","ORF","93395-94402","-","XV","yol120c",-360.464393729576,-362.159771692023
"rps4b",0,0.5,0.5,"rps4b","yhr203c","ORF","504476-505530","-","VIII","yhr203c",-360.430426731722,86.4809583281766
NA,NA,NA,NA,"cip1","ypl014w","ORF","527547-528692","+","XVI","ypl014w",-341.879449036414,338.452594788061
NA,NA,NA,NA,"gpd2","yol059w","ORF","217126-218448","+","XV","yol059w",-340.629915077144,205.895941395134
"rps7a",0,0,1,"rps7a","yor096w","ORF","505794-506767","+","XV","yor096w",-335.287832724323,-198.846510469725
NA,NA,NA,NA,"atg41","ypl250c","ORF","74309-74719","-","XVI","ypl250c",-328.836268505824,350.164142335827
NA,NA,NA,NA,"oye2","yhr179w","ORF","462502-463704","+","VIII","yhr179w",-328.570108784395,-135.32993634069
"ade1",0,1,0,"ade1","yar015w","ORF","169375-170295","+","I","yar015w",-328.567622068598,369.997505186993
NA,NA,NA,NA,"ade13","ylr359w","ORF","844282-845730","+","XII","ylr359w",-322.231405057115,312.228439058384
"rpl23a",0,1,0,"rpl23a","ybl087c","ORF","59822-60739","-","II","ybl087c",-321.7747189595,138.868281733369
NA,NA,NA,NA,"krs1","ydr037w","ORF","525440-527215","+","IV","ydr037w",-320.877192491995,11.7811924868742
"rpl19b",0,1,0,"rpl19b","ybl027w","ORF","168423-169376","+","II","ybl027w",-320.353167719246,-304.871917724098
NA,NA,NA,NA,"mbf1","yor298c-a","ORF","877230-877685","-","XV","yor298c-a",-316.700059122308,552.084797765138
NA,NA,NA,NA,"bud19","yjl188c","ORF","76202-76510","-","X","yjl188c",-314.42780782082,-244.861088754938
NA,NA,NA,NA,"gnd1","yhr183w","ORF","470960-472429","+","VIII","yhr183w",-310.995814501048,381.756494657852
NA,NA,NA,NA,"rps7b","ynl096c","ORF","443398-444315","-","XIV","ynl096c",-310.595450087355,68.7541017957961
"rps27b",0,0,1,"rps27b","yhr021c","ORF","147871-148669","-","VIII","yhr021c",-310.027114637482,-478.59209932322
"ade3",0,0.5,0.5,"ade3","ygr204w","ORF","905934-908774","+","VII","ygr204w",-302.831183911246,268.547844663247
NA,NA,NA,NA,"rpl22b","yfl034c-a","ORF","64243-64932","-","VI","yfl034c-a",-302.047525193913,242.475455682001
NA,NA,NA,NA,"crh1","ygr189c","ORF","876669-878192","-","VII","ygr189c",-299.95494957386,350.104195111821
NA,NA,NA,NA,"rpl26b","ygr034w","ORF","555812-556672","+","VII","ygr034w",-297.76822655314,-165.4025048371
NA,NA,NA,NA,"bud20","ylr074c","ORF","281956-282456","-","XII","ylr074c",-296.234800042169,127.283300960815
NA,NA,NA,NA,"vma3","yel027w","ORF","100769-101251","+","V","yel027w",-295.890323907858,257.139220360005
NA,NA,NA,NA,"sol3","yhr163w","ORF","423724-424473","+","VIII","yhr163w",-295.183880629769,237.768061541474
NA,NA,NA,NA,"rps26a","ygl189c","ORF","148229-148588","-","VII","ygl189c",-292.142190683644,-181.730300460557
"idh1",0,1,0,"idh1","ynl037c","ORF","557920-559002","-","XIV","ynl037c",-292.095576611552,287.523741145446
NA,NA,NA,NA,"hsp60","ylr259c","ORF","663284-665002","-","XII","ylr259c",-291.696469446476,299.86200860484
NA,NA,NA,NA,"ste2","yfl026w","ORF","82580-83875","+","VI","yfl026w",-289.480015984165,344.221693852381
NA,NA,NA,NA,"ygl123c-a","ygl123c-a","ORF","277634-277864","-","VII","ygl123c-a",-289.001615047929,-687.254192442705
"tpm1",0,0,1,"tpm1","ynl079c","ORF","478566-479165","-","XIV","ynl079c",-288.060201617956,402.847960627401
NA,NA,NA,NA,"pmp2","yel017c-a","ORF","122798-122929","-","V","yel017c-a",-285.233170405245,354.394356858264
"rpl34b",0,1,0,"rpl34b","yil052c","ORF","256226-257063","-","IX","yil052c",-281.686198657898,-291.608553869734
NA,NA,NA,NA,"pre2","ypr103w","ORF","732349-733212","+","XVI","ypr103w",-280.218872355982,341.7503899266
NA,NA,NA,NA,"rpl26a","ylr344w","ORF","819312-820142","+","XII","ylr344w",-279.960710553437,4.76724201665547
NA,NA,NA,NA,"ser33","yil074c","ORF","221081-222490","-","IX","yil074c",-270.396516743789,248.300012016222
NA,NA,NA,NA,"ymr307c-a","ymr307c-a","ORF","887731-887925","-","XIII","ymr307c-a",-268.156282959982,-178.635047744601
NA,NA,NA,NA,"stp4","ydl048c","ORF","366739-368211","-","IV","ydl048c",-266.593476205192,271.505124354767
NA,NA,NA,NA,"rcr1","ybr005w","ORF","245906-246547","+","II","ybr005w",-265.777122230308,275.684658701124
NA,NA,NA,NA,"hnt1","ydl125c","ORF","239019-239606","-","IV","ydl125c",-264.621979474476,541.917230381443
NA,NA,NA,NA,"yef3","ylr249w","ORF","636780-639914","+","XII","ylr249w",-263.879116700028,-773.745816003322
NA,NA,NA,NA,"rps2","ygl123w","ORF","277617-278381","+","VII","ygl123w",-257.230953274334,-681.002612585853
NA,NA,NA,NA,"abf2","ymr072w","ORF","411569-412120","+","XIII","ymr072w",-254.920990052061,363.716281018442
NA,NA,NA,NA,"pfk1","ygr240c","ORF","970771-973734","-","VII","ygr240c",-254.886498447973,227.373324755445
NA,NA,NA,NA,"trr1","ydr353w","ORF","1183299-1184258","+","IV","ydr353w",-250.15291791219,18.7342507675655
"met2",0,0.5,0.5,"met2","ynl277w","ORF","117349-118809","+","XIV","ynl277w",-248.628529939322,234.307694145994
NA,NA,NA,NA,"ylr179c","ylr179c","ORF","514108-514713","-","XII","ylr179c",-247.669265329578,247.772066782586
NA,NA,NA,NA,"rpl42b","yhr141c","ORF","381990-382751","-","VIII","yhr141c",-245.771491234155,-186.512854706961
"egd1",0,0,1,"egd1","ypl037c","ORF","481428-481901","-","XVI","ypl037c",-245.333673230891,11.6792699761514
NA,NA,NA,NA,"met10","yfr030w","ORF","213312-216419","+","VI","yfr030w",-245.037883944169,213.176996849179
NA,NA,NA,NA,"ylr302c","ylr302c","ORF","732191-732553","-","XII","ylr302c",-243.273573615695,286.009159263524
NA,NA,NA,NA,"apa1","ycl050c","ORF","37836-38801","-","III","ycl050c",-242.638276967549,144.142526589011
"egd2",0,0,1,"egd2","yhr193c","ORF","487712-488236","-","VIII","yhr193c",-242.383980124551,-153.126651191752
NA,NA,NA,NA,"lyp1","ynl268w","ORF","138550-140385","+","XIV","ynl268w",-241.514218195448,171.686661249721
NA,NA,NA,NA,"pst1","ydr055w","ORF","563527-564861","+","IV","ydr055w",-237.012454292617,344.614755400611
NA,NA,NA,NA,"rps16b","ydl083c","ORF","306926-307789","-","IV","ydl083c",-236.66020634901,-550.464392721276
"lys9",0,0.666666666666667,0.333333333333333,"lys9","ynr050c","ORF","714048-715388","-","XIV","ynr050c",-233.964596910732,339.220634314748
NA,NA,NA,NA,"ser1","yor184w","ORF","679357-680544","+","XV","yor184w",-232.109870070347,209.259050619908
NA,NA,NA,NA,"ser3","yer081w","ORF","322686-324095","+","V","yer081w",-231.548946402672,222.727667634089
NA,NA,NA,NA,"yor309c","yor309c","ORF","896698-897078","-","XV","yor309c",-231.213446029316,86.4602653553536
NA,NA,NA,NA,"dot6","yer088c","ORF","333176-335188","-","V","yer088c",-229.879358104908,286.752569280331
NA,NA,NA,NA,"imd4","yml056c","ORF","162194-164176","-","XIII","yml056c",-229.695422016234,82.5809210192696
"lat1",1,0,0,"lat1","ynl071w","ORF","491523-492971","+","XIV","ynl071w",-228.132445486694,288.513903086665
NA,NA,NA,NA,"yhr182c-a","yhr182c-a","ORF","470939-471412","-","VIII","yhr182c-a",-220.869150409151,282.034074668633
NA,NA,NA,NA,"rpb5","ybr154c","ORF","548362-549009","-","II","ybr154c",-220.753773210375,155.918045392346
NA,NA,NA,NA,"tos6","ynl300w","ORF","65744-66052","+","XIV","ynl300w",-219.51675118648,165.758374754707
NA,NA,NA,NA,"pxr1","ygr280c","ORF","1050910-1051725","-","VII","ygr280c",-217.806652412558,139.011996019035
NA,NA,NA,NA,"ylr264c-a","ylr264c-a","ORF","673828-673944","-","XII","ylr264c-a",-217.75285437269,349.384464006173
NA,NA,NA,NA,"ynl276c","ynl276c","ORF","118431-118826","-","XIV","ynl276c",-217.656933101403,192.953535499961
NA,NA,NA,NA,"erg1","ygr175c","ORF","846933-848423","-","VII","ygr175c",-216.738793179389,112.531624784853
NA,NA,NA,NA,"vma13","ypr036w","ORF","643836-645272","+","XVI","ypr036w",-215.438537035527,225.310930445585
NA,NA,NA,NA,"pfk2","ymr205c","ORF","671887-674766","-","XIII","ymr205c",-214.221846763269,207.755367157159
NA,NA,NA,NA,"com2","yer130c","ORF","421115-422446","-","V","yer130c",-212.73936292383,240.473274693356
"vma2",0,0,1,"vma2","ybr127c","ORF","491269-492822","-","II","ybr127c",-212.041084068474,200.129137719957
NA,NA,NA,NA,"hac1","yfl031w","ORF","75179-76147","+","VI","yfl031w",-210.792115591029,335.073607259825
NA,NA,NA,NA,"vhr1","yil056w","ORF","249991-251913","+","IX","yil056w",-209.97678540626,239.672770263342
"idh2",0,1,0,"idh2","yor136w","ORF","580250-581359","+","XV","yor136w",-209.718219559771,281.788165087241
NA,NA,NA,NA,"arc15","yil062c","ORF","243998-244462","-","IX","yil062c",-209.37948913669,409.184852364133
NA,NA,NA,NA,"hch1","ynl281w","ORF","108467-108928","+","XIV","ynl281w",-209.327543103166,155.94060020715
NA,NA,NA,NA,"yfl031c-a","yfl031c-a","ORF","76014-76115","-","VI","yfl031c-a",-207.385218834715,371.869197471595
NA,NA,NA,NA,"mmf1","yil051c","ORF","257843-258280","-","IX","yil051c",-203.342062993817,381.682752596937
NA,NA,NA,NA,"pct1","ygr202c","ORF","903474-904748","-","VII","ygr202c",-203.017394668839,172.762782236185
NA,NA,NA,NA,"sse1","ypl106c","ORF","350194-352275","-","XVI","ypl106c",-202.88114461576,-359.180410870018
NA,NA,NA,NA,"cdc48","ydl126c","ORF","236157-238664","-","IV","ydl126c",-202.720202314056,428.909240638344
NA,NA,NA,NA,"tye7","yor344c","ORF","977194-978069","-","XV","yor344c",-201.621991265059,63.2357822214756
NA,NA,NA,NA,"rps13","ydr064w","ORF","579458-580452","+","IV","ydr064w",-201.427608473675,-413.192669391801
"mtd1",0,1,0,"mtd1","ykr080w","ORF","590395-591357","+","XI","ykr080w",-200.745644544609,207.651541780334
NA,NA,NA,NA,"cis3","yjl158c","ORF","122265-122948","-","X","yjl158c",-200.704265353064,-11.6514128715467
"cys4",0,1,0,"cys4","ygr155w","ORF","798543-800066","+","VII","ygr155w",-200.209720008436,-177.924313807521
"ras1",0,1,0,"ras1","yor101w","ORF","515244-516173","+","XV","yor101w",-199.98177490111,182.956329591921
NA,NA,NA,NA,"yor342c","yor342c","ORF","966666-967625","-","XV","yor342c",-199.402512045363,167.143306243598
NA,NA,NA,NA,"bat1","yhr208w","ORF","517532-518713","+","VIII","yhr208w",-198.847075838091,288.745342373155
NA,NA,NA,NA,"hrk1","yor267c","ORF","822588-824867","-","XV","yor267c",-196.104742012925,209.054807033569
NA,NA,NA,NA,"ixr1","ykl032c","ORF","380065-381858","-","XI","ykl032c",-195.024510237946,206.6450860319
NA,NA,NA,NA,"ydr354c-a","ydr354c-a","ORF","1185139-1185282","-","IV","ydr354c-a",-194.620234629881,125.486494518227
"ade2",0,1,0,"ade2","yor128c","ORF","564476-566191","-","XV","yor128c",-192.930085583961,197.313183417695
NA,NA,NA,NA,"yjr087w","yjr087w","ORF","586400-586750","+","X","yjr087w",-192.746158928427,156.331508319753
NA,NA,NA,NA,"nab2","ygl122c","ORF","278946-280523","-","VII","ygl122c",-192.420286451026,202.712776566028
NA,NA,NA,NA,"rpl24b","ygr148c","ORF","787312-787779","-","VII","ygr148c",-191.017190773692,-171.310612735885
NA,NA,NA,NA,"dse1","yer124c","ORF","407342-409063","-","V","yer124c",-190.919697373175,209.384353578707
NA,NA,NA,NA,"gar1","yhr089c","ORF","282681-283298","-","VIII","yhr089c",-190.835673927202,-19.3313497738853
"ade12",0,1,0,"ade12","ynl220w","ORF","234413-235714","+","XIV","ynl220w",-190.295753669089,33.7967659442004
NA,NA,NA,NA,"wtm1","yor230w","ORF","770800-772113","+","XV","yor230w",-189.899508174423,310.996363710615
NA,NA,NA,NA,"aim7","ydr063w","ORF","578663-579112","+","IV","ydr063w",-189.678504198264,261.708979282551
NA,NA,NA,NA,"rcf2","ynr018w","ORF","664270-664944","+","XIV","ynr018w",-189.101128112632,62.1231140753617
"vma1",0,0,1,"vma1","ydl185w","ORF","126787-130002","+","IV","ydl185w",-188.477016278487,169.370122721317
NA,NA,NA,NA,"ari1","ygl157w","ORF","209006-210049","+","VII","ygl157w",-188.192374319011,133.803262519204
"lys12",0,1,0,"lys12","yil094c","ORF","186517-187632","-","IX","yil094c",-187.62196448799,177.813652162844
NA,NA,NA,NA,"tom5","ypr133w-a","ORF","797557-797709","+","XVI","ypr133w-a",-187.579852435268,197.465281955412
NA,NA,NA,NA,"ylr339c","ylr339c","ORF","805784-806335","-","XII","ylr339c",-187.114703016658,-56.8193899177279
"ade5,7",0,0.5,0,"ade5,7","ygl234w","ORF","56482-58890","+","VII","ygl234w",-186.597740222825,144.135908665909
NA,NA,NA,NA,"map1","ylr244c","ORF","625168-626331","-","XII","ylr244c",-184.687528105151,130.455949373398
"rps4a",0,0,1,"rps4a","yjr145c","ORF","702027-703068","-","X","yjr145c",-184.39497239181,-272.530003585578
NA,NA,NA,NA,"phm8","yer037w","ORF","225889-226854","+","V","yer037w",-184.37545337142,155.761192769858
NA,NA,NA,NA,"ypl250w-a","ypl250w-a","ORF","75702-75989","+","XVI","ypl250w-a",-180.248641240702,-154.403189964155
